Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 60.92    144.46   144.46                             _mcount_private
 16.65    183.93    39.47 153340513     0.00     0.00  Matrix::operator()(int, int)
 13.69    216.40    32.47                             __fentry__
  3.24    224.08     7.68    56637     0.00     0.00  Matrix::operator=(Matrix&)
  2.09    229.04     4.96      586     0.01     0.02  GGM03S(int)
  1.81    233.33     4.29     5071     0.00     0.00  zeros(int, int)
  0.22    233.84     0.51      586     0.00     0.01  Legendre(int, int, double)
  0.20    234.31     0.47                             fscanf
  0.16    234.70     0.39      586     0.00     0.03  AccelHarmonic(Matrix&, Matrix&, int, int)
  0.15    235.06     0.36    39370     0.00     0.00  Matrix::Matrix(int)
  0.13    235.36     0.30      209     0.00     0.01  IERS(double, std::string)
  0.11    235.61     0.25  1537222     0.00     0.00  Matrix::operator()(int)
  0.11    235.86     0.25      145     0.00     0.20  JPL_Eph_DE430(double)
  0.08    236.06     0.20  2513167     0.00     0.00  std::abs(double)
  0.04    236.16     0.10    24997     0.00     0.00  Matrix::Matrix(int, int)
  0.04    236.25     0.09     6827     0.00     0.00  transpose(Matrix&)
  0.03    236.32     0.07                             sqrt
  0.03    236.38     0.06                             cos
  0.02    236.43     0.05     1871     0.00     0.00  Matrix::operator*(double)
  0.02    236.47     0.04    19141     0.00     0.00  extract_vector(Matrix&, int, int)
  0.02    236.51     0.04     3465     0.00     0.00  norm(Matrix&)
  0.02    236.55     0.04      415     0.00     0.00  NutAngles(double)
  0.02    236.59     0.04      209     0.00     0.00  std::_Tuple_impl<1ul, double&, double&, double&, double&, double&, double&, double&, double&>::_Tuple_impl(double&, double&, double&, double&, double&, double&, double&, double&)
  0.02    236.63     0.04      144     0.00     0.00  extract_row(Matrix&, int)
  0.02    236.67     0.04                             free
  0.01    236.70     0.03     2894     0.00     0.00  Matrix::operator*(Matrix&)
  0.01    236.73     0.03      195     0.00     0.00  assign_column(Matrix&, Matrix&, int)
  0.01    236.75     0.02     7921     0.00     0.00  union_vector(Matrix&, Matrix&)
  0.01    236.77     0.02     3740     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.01    236.79     0.02     2736     0.00     0.00  Matrix::operator+(double)
  0.01    236.81     0.02     1873     0.00     0.01  Cheb3D(double, int, double, double, Matrix&, Matrix&, Matrix&)
  0.01    236.83     0.02      830     0.00     0.00  std::_Head_base<0ul, double, false>::_Head_base<double&>(double&)
  0.01    236.85     0.02      585     0.00     0.00  std::tuple_element<0ul, std::tuple<Matrix&, Matrix&> >::type&& std::get<0ul, Matrix&, Matrix&>(std::tuple<Matrix&, Matrix&>&&)
  0.01    236.87     0.02      585     0.00     0.00  std::tuple<Matrix&, Matrix&> std::tie<Matrix, Matrix>(Matrix&, Matrix&)
  0.01    236.89     0.02      209     0.00     0.00  std::_Tuple_impl<1ul, double&, double&, double&, double&, double&, double&, double&, double&>::_M_head(std::_Tuple_impl<1ul, double&, double&, double&, double&, double&, double&, double&, double&>&)
  0.01    236.91     0.02      209     0.00     0.00  std::_Tuple_impl<2ul, double&, double&, double&, double&, double&, double&, double&>::_M_head(std::_Tuple_impl<2ul, double&, double&, double&, double&, double&, double&, double&>&)
  0.01    236.93     0.02      209     0.00     0.00  std::_Tuple_impl<2ul, double&, double&, double&, double&, double&, double&, double&>::_M_tail(std::_Tuple_impl<2ul, double&, double&, double&, double&, double&, double&, double&>&)
  0.01    236.95     0.02      209     0.00     0.00  std::_Tuple_impl<4ul, double&, double&, double&, double&, double&>::_M_tail(std::_Tuple_impl<4ul, double&, double&, double&, double&, double&>&)
  0.01    236.97     0.02      208     0.00     0.01  PrecMatrix(double, double)
  0.01    236.99     0.02      208     0.00     0.00  timediff(double, double)
  0.01    237.01     0.02      208     0.00     0.00  std::_Tuple_impl<1ul, double, double, double, double, double, double, double, double>::_Tuple_impl<double&, double&, double&, double&, double&, double&, double&, double&>(std::_Tuple_impl<1ul, double&, double&, double&, double&, double&, double&, double&, double&>&&)
  0.01    237.03     0.02                             __wrap__Znwm
  0.00    237.04     0.01      585     0.00     0.00  std::_Tuple_impl<0ul, Matrix&, Matrix&>::_Tuple_impl(Matrix&, Matrix&)
